# ----------------------------------------
# Cage Code Site Data
# Network
# 20160401-20180407
# ----------------------------------------

Service Provider,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
bulgarian telecommunications company plc.,7,5,7,14.29%,2.00,00:05:16,0.00%,0,$0.00
burlington telecom,7,7,9,11.11%,3.89,00:01:15,0.00%,0,$0.00
cable modem customers (cpe),7,5,8,37.50%,2.50,00:00:47,0.00%,0,$0.00
cables-customers-connection,7,5,8,12.50%,4.12,00:05:42,0.00%,0,$0.00
cables-l2tp,7,5,8,12.50%,2.50,00:02:02,0.00%,0,$0.00
calaveras internet,7,7,14,0.00%,5.86,00:12:02,0.00%,0,$0.00
california polytechnic state university,7,7,12,8.33%,2.83,00:00:18,0.00%,0,$0.00
california technology agency,7,7,7,57.14%,2.86,00:03:18,0.00%,0,$0.00
callplus services limited,7,5,8,12.50%,3.12,00:01:13,0.00%,0,$0.00
canadian plastics group newmarket,7,5,29,0.00%,3.38,00:02:38,0.00%,0,$0.00
capital iq information systems (india) pvt ltd.,7,7,8,87.50%,1.12,00:00:02,0.00%,0,$0.00
carlisle interconnect technologies,7,0,7,14.29%,1.71,00:00:14,0.00%,0,$0.00
cascade access llc,7,7,7,14.29%,2.86,00:00:27,0.00%,0,$0.00
cdw computer centers,7,7,7,0.00%,2.86,00:02:03,0.00%,0,$0.00
cedar networks,7,5,7,0.00%,2.00,00:00:30,0.00%,0,$0.00
celeste,7,5,10,30.00%,2.90,00:03:45,0.00%,0,$0.00
centurum,7,7,7,14.29%,3.86,00:05:20,0.00%,0,$0.00
chant engineering co inc,7,7,16,0.00%,2.69,00:01:11,0.00%,0,$0.00
chunghwa telecom global inc,7,7,9,11.11%,4.11,00:01:17,0.00%,0,$0.00
ci - genesys telecommunications,7,5,14,7.14%,4.93,00:04:39,0.00%,0,$0.00
citigroup,7,7,7,42.86%,1.71,00:00:36,0.00%,0,$0.00
citynet,7,7,7,0.00%,3.86,00:00:54,0.00%,0,$0.00
co northeimer,7,7,39,7.69%,3.87,00:10:10,0.00%,0,$0.00
colombia m vil,7,3,10,70.00%,1.70,00:00:15,0.00%,0,$0.00
columbus mckinnon corporation,7,7,8,12.50%,3.25,00:02:33,0.00%,0,$0.00
comfortel ltd.,7,3,116,3.45%,2.17,00:06:21,0.00%,0,$0.00
compudyne inc.,7,7,7,0.00%,3.14,00:01:29,0.00%,0,$0.00
concepts nrec,7,7,9,11.11%,4.67,00:04:01,0.00%,0,$0.00
consejo superior de investigaciones,7,7,7,14.29%,3.57,00:02:03,0.00%,0,$0.00
cybercom,7,7,9,0.00%,5.67,00:03:59,0.00%,0,$0.00
cyrusone llc,7,5,7,0.00%,4.14,00:01:43,0.00%,0,$0.00
cyrusone networks,7,7,7,0.00%,6.71,00:01:45,0.00%,0,$0.00
dayton granger inc,7,7,16,0.00%,3.12,00:01:51,0.00%,0,$0.00
dc electronics,7,7,12,0.00%,2.42,00:00:29,0.00%,0,$0.00
dcx chol,7,7,16,18.75%,2.50,00:05:24,0.00%,0,$0.00
dedupot mis7ln1,7,7,42,7.14%,3.57,00:01:56,0.00%,0,$0.00
deere & company,7,7,7,42.86%,1.43,00:00:10,0.00%,0,$0.00
deharde maschinenbau helmut hoffman gmbh,7,7,9,33.33%,2.00,00:01:12,0.00%,0,$0.00
delco electronics corporation,7,7,8,0.00%,2.25,00:00:49,0.00%,0,$0.00
delta proveris ag,7,7,16,6.25%,6.38,00:13:03,0.00%,0,$0.00
demon internet / thus plc,7,7,9,0.00%,11.00,00:02:45,0.00%,0,$0.00
dental health products,7,5,31,9.68%,4.00,00:03:17,0.00%,0,$0.00
dielectric labs inc,7,5,13,0.00%,2.85,00:01:03,0.00%,0,$0.00
direction interministerielle des systemes d information et de co,7,7,7,14.29%,2.86,00:01:26,0.00%,0,$0.00
ditco dodea sohqips,7,7,8,12.50%,2.12,00:00:54,0.00%,0,$0.00
ditco navsup bsc,7,7,7,14.29%,4.43,00:04:22,0.00%,0,$0.00
djibouti telecom s.a.,7,7,7,57.14%,1.29,00:04:55,0.00%,0,$0.00
dlive,7,7,29,34.48%,4.69,00:08:30,0.00%,0,$0.00
dodo nbn,7,5,18,27.78%,4.28,00:07:27,0.00%,0,$0.00
dokom gesellschaft fuer telekommunikation mbh,7,7,7,57.14%,1.86,00:01:27,0.00%,0,$0.00
dsl subscribers in new caledonia,7,7,7,0.00%,4.71,00:03:27,0.00%,0,$0.00
dunkirk & fredonia telephone company,7,5,7,14.29%,3.14,00:00:51,0.00%,0,$0.00
dynalink communications inc.,7,7,7,0.00%,5.71,00:05:52,0.00%,0,$0.00
dynamic address penzberg,7,7,9,0.00%,3.44,00:03:37,0.00%,0,$0.00
east coast microwave dist,7,7,13,38.46%,2.00,00:00:14,0.00%,0,$0.00
eclipse static adsl pool/32,7,7,7,0.00%,3.14,00:00:51,0.00%,0,$0.00
eit,7,5,14,28.57%,6.36,00:07:54,0.00%,0,$0.00
emerson electric asia-pacific,7,7,8,0.00%,2.50,00:00:40,0.00%,0,$0.00
empresa nacional de aeronautica de chile,7,7,8,12.50%,4.75,00:05:15,0.00%,0,$0.00
emr data services,7,7,8,0.00%,3.25,00:00:40,0.00%,0,$0.00
ensync - fw,7,7,14,7.14%,3.07,00:01:11,0.00%,0,$0.00
ericsson business communications inc.,7,7,7,0.00%,3.71,00:03:38,0.00%,0,$0.00
eskisehir bilisim iletisim san ve tic. a.s.,7,7,7,0.00%,2.86,00:00:31,0.00%,0,$0.00
esprit telecom b.v.,7,5,9,11.11%,3.00,00:01:01,0.00%,0,$0.00
essner manufacturing,7,7,18,44.44%,3.39,00:03:13,0.00%,0,$0.00
eternet s.r.l.,7,7,14,28.57%,5.57,00:19:41,0.00%,0,$0.00
etisalat afghan,7,7,8,37.50%,2.00,00:07:38,0.00%,0,$0.00
eur tel - societa a responsabilita limitata,7,7,16,6.25%,3.12,00:02:43,0.00%,0,$0.00
exabyt for communication & general trading /ltd,7,7,7,14.29%,1.86,00:00:55,0.00%,0,$0.00
excell group plc,7,5,8,37.50%,2.62,00:01:41,0.00%,0,$0.00
exetel queensland dsl,7,7,12,41.67%,2.17,00:01:02,0.00%,0,$0.00
expereo international b v,7,7,17,23.53%,3.00,00:00:50,0.00%,0,$0.00
expressvpn,7,5,7,0.00%,3.71,00:01:51,0.00%,0,$0.00
f + e fischer + entwicklungengmbh & co. kg,7,7,9,11.11%,4.67,00:05:44,0.00%,0,$0.00
falcon electronics,7,7,7,0.00%,2.43,00:00:56,0.00%,0,$0.00
fastweb spa,7,4,12,8.33%,3.17,00:02:36,0.00%,0,$0.00
fayetteville internet communication inc.,7,5,8,0.00%,3.75,00:01:05,0.00%,0,$0.00
federal fabrics-fibers,7,7,8,0.00%,3.25,00:03:51,0.00%,0,$0.00
fixed ip (static),7,5,7,0.00%,3.29,00:00:58,0.00%,0,$0.00
fmh corporation,7,7,7,0.00%,4.29,00:05:29,0.00%,0,$0.00
fonelight telecomunica es s/a,7,5,16,56.25%,1.44,00:00:38,0.00%,0,$0.00
forcepoint cloud australia,7,5,8,0.00%,2.75,00:01:09,0.00%,0,$0.00
forcepoint cloud netherlands,7,7,7,14.29%,2.86,00:00:34,0.00%,0,$0.00
four corners,7,7,7,42.86%,4.71,00:05:11,0.00%,0,$0.00
fr-banque-de-france-croix-petits-champs,7,5,9,0.00%,3.33,00:00:29,0.00%,0,$0.00
fro2005728264dir / 931879/3,7,7,7,42.86%,2.00,00:00:24,0.00%,0,$0.00
front range internet inc.,7,7,7,0.00%,9.14,00:14:08,0.00%,0,$0.00
frontlin frontline,7,7,47,0.00%,3.09,00:03:28,0.00%,0,$0.00
ftb international corp,7,7,288,15.28%,2.33,00:03:42,0.00%,0,$0.00
ftip003083871 apph ltd,7,7,12,0.00%,2.92,00:02:55,0.00%,0,$0.00
ftip003244883 technique ltd,7,7,39,2.56%,2.87,00:03:13,0.00%,0,$0.00
futurami,7,7,7,14.29%,2.00,00:03:31,0.00%,0,$0.00
gardners,7,7,8,0.00%,3.38,00:01:26,0.00%,0,$0.00
general dynamics,7,5,7,14.29%,2.86,00:03:05,0.00%,0,$0.00
george mckenna,7,5,10,10.00%,3.50,00:01:07,0.00%,0,$0.00
georgia department of education,7,7,7,0.00%,2.43,00:01:48,0.00%,0,$0.00
gerhardt gear co,7,7,21,23.81%,2.71,00:00:48,0.00%,0,$0.00
ggi international,7,5,10,10.00%,2.90,00:00:32,0.00%,0,$0.00
gigamonster,7,5,7,14.29%,1.86,00:00:14,0.00%,0,$0.00
giriraj concrete pvt ltd,7,7,7,42.86%,2.00,00:00:43,0.00%,0,$0.00
glandorf telephone company,7,8,9,33.33%,2.33,00:02:47,0.00%,0,$0.00
glbb japan kk,7,7,7,14.29%,2.00,00:00:13,0.00%,0,$0.00
global entourage services,7,7,7,42.86%,3.57,00:00:55,0.00%,0,$0.00
global telecom brokers,7,7,8,37.50%,2.50,00:00:47,0.00%,0,$0.00
gmj machine,7,7,8,12.50%,2.62,00:00:42,0.00%,0,$0.00
gorillaservers inc.,7,7,7,100.00%,1.00,00:00:00,0.00%,0,$0.00
government of saskatchewan communitynet,7,7,8,12.50%,2.75,00:01:10,0.00%,0,$0.00
gradace spol. s r.o.,7,7,8,0.00%,3.88,00:01:10,0.00%,0,$0.00
grande communications austin hub 3,7,7,7,0.00%,2.29,00:00:33,0.00%,0,$0.00
harvard university,7,7,7,0.00%,3.00,00:00:20,0.00%,0,$0.00
hemel hempstead,7,7,17,17.65%,3.24,00:02:19,0.00%,0,$0.00
high desert internet services,7,5,8,37.50%,3.25,00:01:38,0.00%,0,$0.00
hk aero engine services ltd.,7,7,8,37.50%,1.75,00:00:17,0.00%,0,$0.00
hmv second assignment,7,7,8,0.00%,5.38,00:07:44,0.00%,0,$0.00
hogan hartson,7,7,8,0.00%,5.00,00:03:00,0.00%,0,$0.00
hosting services inc,7,4,52,9.62%,2.88,00:03:48,0.00%,0,$0.00
hotnet,7,7,13,7.69%,3.92,00:03:46,0.00%,0,$0.00
hotwire communications,7,7,10,30.00%,2.30,00:02:52,0.00%,0,$0.00
htc - cable modem pool,7,7,20,5.00%,4.95,00:01:28,0.00%,0,$0.00
hudson valley host,7,7,7,100.00%,1.00,00:00:00,0.00%,0,$0.00
hydradyne llc,7,7,7,14.29%,4.29,00:02:21,0.00%,0,$0.00
i.d.s. ingegneria dei sistemi public subnet,7,7,8,0.00%,2.12,00:00:31,0.00%,0,$0.00
iacobucci hf electronics public subnet,7,7,7,0.00%,4.86,00:04:48,0.00%,0,$0.00
inc airmark components,7,7,8,12.50%,2.12,00:00:17,0.00%,0,$0.00
infonet services corporation,7,5,9,0.00%,5.67,00:04:09,0.00%,0,$0.00
ingersoll rand company,7,5,7,0.00%,5.00,00:08:43,0.00%,0,$0.00
intertechnique,7,7,17,17.65%,6.53,00:12:48,0.00%,0,$0.00
invision.com inc.,7,8,12,0.00%,3.08,00:00:52,0.00%,0,$0.00
iquest internet,7,7,7,14.29%,2.57,00:06:14,0.00%,0,$0.00
itt systems,7,7,8,12.50%,4.12,00:04:19,0.00%,0,$0.00
j f taylor inc,7,7,7,14.29%,5.00,00:06:02,0.00%,0,$0.00
jamii telecommunications limited,7,7,7,57.14%,1.29,00:00:12,0.00%,0,$0.00
jet away aviation,7,7,8,12.50%,3.88,00:00:51,0.00%,0,$0.00
jet midwest,7,7,8,0.00%,5.75,00:15:30,0.00%,0,$0.00
jet systems pty ltd,7,8,10,40.00%,2.20,00:01:13,0.00%,0,$0.00
jiangsu jiayuxin consumer goods corp,7,7,12,8.33%,2.92,00:02:10,0.00%,0,$0.00
joe s datacenter llc,7,7,7,14.29%,2.57,00:02:29,0.00%,0,$0.00
kabel deutschland breitband customer 23,7,5,8,37.50%,11.12,00:07:07,0.00%,0,$0.00
kabul dsl and dialup,7,4,9,44.44%,2.00,00:00:53,0.00%,0,$0.00
kcaelectronicsinc,7,7,9,0.00%,3.44,00:01:19,0.00%,0,$0.00
kean college,7,7,7,14.29%,3.86,00:02:20,0.00%,0,$0.00
keith wilson,7,7,12,0.00%,4.67,00:03:27,0.00%,0,$0.00
kes inc,7,7,9,0.00%,4.44,00:12:57,0.00%,0,$0.00
kiewit corporation,7,7,7,14.29%,1.71,00:00:12,0.00%,0,$0.00
king county gov,7,7,7,14.29%,1.86,00:00:17,0.00%,0,$0.00
kmtelecom,7,7,21,14.29%,2.24,00:01:35,0.00%,0,$0.00
kmwe precisie eindhoven bv,7,7,7,0.00%,6.14,00:00:51,0.00%,0,$0.00
kongsberg,7,7,8,0.00%,2.50,00:00:31,0.00%,0,$0.00
konica minolta business,7,7,7,14.29%,2.00,00:02:38,0.00%,0,$0.00
kpmg global services private limited,7,7,8,37.50%,1.75,00:03:24,0.00%,0,$0.00
kpn zm on2013,7,5,26,19.23%,2.50,00:02:17,0.00%,0,$0.00
krypt technologies,7,5,8,50.00%,2.00,00:00:25,0.00%,0,$0.00
ktdunsanjisajang,7,7,7,0.00%,2.86,00:01:26,0.00%,0,$0.00
kyungbukkimcheonkyoyoukcheongkimcheonjungang middle school,7,7,27,25.93%,2.70,00:03:12,0.00%,0,$0.00
l3 communications,7,7,16,0.00%,3.81,00:02:43,0.00%,0,$0.00
latham & watkins llp (c02867870),7,7,7,14.29%,2.29,00:00:29,0.00%,0,$0.00
les industries trident inc,7,7,9,11.11%,6.22,00:01:08,0.00%,0,$0.00
level 6 9-13 young street,7,7,9,11.11%,2.00,00:00:25,0.00%,0,$0.00
liberty mutual group,7,7,8,62.50%,1.25,00:00:03,0.00%,0,$0.00
lifeline systems company,7,8,16,6.25%,3.75,00:05:39,0.00%,0,$0.00
lightedge solutions,7,4,9,11.11%,4.22,00:03:37,0.00%,0,$0.00
